répliques,label
Pourriez-vous me donner plus d'informations sur les frais de tenue de compte ?,neutral
Comment puis-je mettre en place un virement automatique mensuel ?,neutral
Quelle est la procédure pour ouvrir un compte d'épargne chez vous ?,neutral
Comment puis-je obtenir un chéquier pour mon compte ?,neutral
Quels sont les avantages de votre assurance habitation ?,neutral
Est-ce que je peux avoir un découvert autorisé sur mon compte ?,neutral
Quelles sont les conditions pour obtenir un prêt personnel ?,neutral
Comment puis-je consulter le solde de mon compte en ligne ?,neutral
Existe-t-il des avantages pour les étudiants dans votre banque ?,neutral
Comment fonctionne l'option de paiement sans contact de ma carte bancaire ?,neutral
Quelle est la différence entre un compte courant et un compte d'épargne ?,neutral
Comment puis-je activer les notifications pour les mouvements sur mon compte ?,neutral
Quels documents sont nécessaires pour ouvrir un compte joint ?,neutral
Comment modifier mon adresse postale associée à mon compte bancaire ?,neutral
Pouvez-vous m'expliquer les avantages de votre programme de fidélité ?,neutral
"Merci pour votre aide, vous avez résolu mon problème rapidement !",positive
J'apprécie vraiment votre réactivité et votre service client.,positive
"Votre application mobile est très facile à utiliser, félicitations !",positive
Vous avez toujours les meilleures offres et promotions pour les clients.,positive
Je suis très satisfait de la qualité des services que vous proposez.,positive
Je tiens à vous remercier pour votre professionnalisme et votre patience.,positive
Vos conseillers sont toujours très compétents et serviables.,positive
"Les taux d'intérêt de votre banque sont très compétitifs, je suis ravi.",positive
"L'ouverture de compte a été très simple et rapide, merci.",positive
Votre service client est à l'écoute et trouve toujours une solution adaptée.,positive
"Votre service d'assistance est exceptionnel, je me sens toujours bien pris en charge.",positive
J'apprécie la clarté et la simplicité des informations que vous fournissez.,positive
Merci de toujours résoudre mes problèmes en un rien de temps.,positive
La qualité de vos services bancaires en ligne m'a vraiment impressionné.,positive
Je suis ravi de la rapidité avec laquelle ma demande de prêt a été traitée.,positive
Je suis très mécontent de la manière dont vous avez géré ma demande.,negative
Je ne comprends pas pourquoi je paie autant de frais pour un service si médiocre.,negative
Cela fait plusieurs fois que je signale ce problème et rien n'est fait pour le résoudre.,negative
Votre site web est très peu convivial et compliqué à naviguer.,negative
J'ai l'impression que mon temps et mon argent ne sont pas respectés par votre banque.,negative
Je suis extrêmement déçu par le manque de transparence concernant les frais.,negative
"Votre conseiller m'a donné des informations contradictoires, c'est inacceptable.",negative
J'ai dû attendre une éternité pour avoir une réponse à ma question.,negative
Les erreurs fréquentes sur mon compte me font sérieusement douter de votre compétence.,negative
Je ne recommanderai jamais votre banque à quiconque après cette expérience.,negative
Le manque de communication de votre part est vraiment frustrant.,negative
Votre banque semble ne pas se soucier de ses clients et de leurs problèmes.,negative
Les délais d'attente pour parler à un conseiller sont ridiculement longs.,negative
Je suis très contrarié par les frais cachés que vous m'avez imposés.,negative
Cette expérience a été extrêmement décevante et je vais envisager de changer de banque.,negative
